Type,Handle,Block,Layer,Linetype,Linetype Scale,Lineweight,Color,Displayed Color,Draw Order,Parent Id,Style:Overall scale,Style:Linear measurement factor,Style:Text height,Style:Dimension line gap,Style:Arrow size,Style:Dimension line increment,Style:Extension line extension,Style:Extension line offset,Style:Text position vertical,Style:Text horizontal,Style:Tick size,Style:Linear format,Style:Decimal places,Style:Decimal separator,Style:Zero suppression,Style:Angular format,Style:Angular decimal places,Style:Angular zero suppression,Style:Architectur tick,Style:Text color,Style:Arrow block,Style:Arrow block 1,Style:Arrow block 2,Center:X,Center:Y,Center:Z,Middle:X,Middle:Y,Middle:Z,Radius,Reversed,Diameter,Length,Sweep Angle,Area,Referenced Block,Position:X,Position:Y,Position:Z,Scale:X,Scale:Y,Scale:Z,Angle,Columns,Rows,Column Spacing,Row Spacing,Circumference,Major Point:X,Major Point:Y,Major Point:Z,Ratio,Start Parameter,End Parameter,Start Angle,End Angle,Start Point:X,Start Point:Y,Start Point:Z,End Point:X,End Point:Y,End Point:Z,Width,Height,Middle Point:X,Middle Point:Y,Middle Point:Z,Closed Periodic,Degree,Control Point:X,Control Point:Y,Control Point:Z,Fit Point:X,Fit Point:Y,Fit Point:Z,Knot Vector:Knot,Use Start Tangent,Start Tangent:X,Start Tangent:Y,Start Tangent:Z,Use End Tangent,End Tangent:X,End Tangent:Y,End Tangent:Z,Scale,Rotation,On,View Center:X,View Center:Y,View Target:X,View Target:Y,View Target:Z,Overall,Simple,Text Position:X,Text Position:Y,Text Position:Z,Text,,Plain Text,Font Name,Text Height,Text Width,Text Angle,X Scale,Bold,Italic,Line Spacing,Alignment:Horizontal,Alignment:Vertical,Backward,Upside Down,Invisible,Tag,Prompt,Name,Origin:X,Origin:Y,Origin:Z,Off,Frozen,Locked,Collapsed,Plottable,Snappable,Off is Freeze,Tab Order,Min Limits:X,Min Limits:Y,Min Limits:Z,Max Limits:X,Max Limits:Y,Max Limits:Z,Insertion Base:X,Insertion Base:Y,Insertion Base:Z,Min Extents:X,Min Extents:Y,Min Extents:Z,Max Extents:X,Max Extents:Y,Max Extents:Z,Plot Margins:Left,Plot Margins:Bottom,Plot Margins:Right,Plot Margins:Top,Plot Paper Size:Width,Plot Paper Size:Height,Plot Origin:X,Plot Origin:Y,Plot Window Area Min:X,Plot Window Area Min:Y,Plot Window Area Max:X,Plot Window Area Max:Y,Custom Scale:Numerator,Custom Scale:Denominator,Plot Paper Units,Plot Rotation,Plot Type,Use Standard Scale,Standard Scale,Standard Scale Type,Media Name,Description,Metric,Pattern,Hidden,Pixel Unit,Layout,Center Point,Polyline Pattern,Closed,Vertex:X,Vertex:Y,Vertex:Z,Vertex:Bulge,Vertex:Angle,Vertex:Start Width,Vertex:End Width,Global Width,Orientation,Size:Base Angle,Size:Size 1,Size:Size 2,Global Z,Solid,Alpha,Pattern:Name,Pattern:From Entity,Pattern:Angle,Pattern:Scale,Label,Tolerance:Upper Limit,Tolerance:Lower Limit,Flip First Arrow,Flip Second Arrow,Fixed Extension Line,Extension Line Length,Measured Value,Block Name,Auto Label Position,Dimension Line:X,Dimension Line:Y,Dimension Line:Z,Extension Point 1:X,Extension Point 1:Y,Extension Point 1:Z,Extension Point 2:X,Extension Point 2:Y,Extension Point 2:Z,Chord Point:X,Chord Point:Y,Chord Point:Z,Far Chord Point:X,Far Chord Point:Y,Far Chord Point:Z,Dimension Angle,Id,Attributes:MyAttribute,QCAD:PageSettings/Scale
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,BORDERX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"A,24,-12,24,-11.95,0.1,-11.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,ZIGZAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zig zag /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/,true,"A,0.00254,-5.08,[""ZIG"",ltypeshp.shx,S=5.08,X=-5.08],-10.16,[""ZIG"",ltypeshp.shx,S=5.08,R=180,X=5.08],-5.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,FOUL_RISING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foul Water Rising ---- FWRM ---- FWRM ---- FWRM ----,true,"A,12.7,-7.62,[""FWRM"",STANDARD,S=2.54,X=-3.81,Y=-1.27],-7.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,59
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solid line,true,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,FENCELINE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fenceline circle ----0-----0----0-----0----0-----0--,true,"A,6.35,-2.54,[""CIRC1"",ltypeshp.shx,S=2.54,X=-2.54],-2.54,25.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,DRAINAGE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drainage reversed----<----<----<----,true,"A,5.08,[""RIGHT_ARROW"",qcadshp.shx,S=2.54],5.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,HOT_WATER_SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot water supply ---- HW ---- HW ---- HW ----,true,"A,12.7,-5.08,[""HW"",STANDARD,S=2.54,X=-2.54,Y=-1.27],-5.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,PHANTOMX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phantom (2x) ____________    ____    ____   _,true,"A,63.5,-12.7,12.7,-12.7,12.7,-12.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,52
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,CENTER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"A,16,-3,3,-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,27
Linetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,HIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden __ __ __ __ __ __ __ __ __ __ __ __ __ __,true,"A,6.35,-3.175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46
